PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
122063317	R 1862	R 1862 122063317	OK Jazz 1960/62 [Vol.1] / OK Jazz - African, Sonodisc (Distr.)	1962	Franco <Musiker> / Tout-Puissant OK Jazz	
122063813	R 2037	R 2037 122063813	Moto Akokufa / Faya Tess - La Sirène d'eau douce - Genidia, Sonodisc (Distr.)	1988	Ley, Tabu / Tess, Faya / Afrisa International Orchestra	
122064283	R 1858	R 1858 122064283	N'Gothias N'Gothias / Afi La Princesse - 	1978	Afi	
122065603	R 1240	R 1240 122065603	Je suis faché / Abeti - Bade Stars Music	1985	Abeti / Redoutables	
122308166	R 046	R 046 122308166	Bibile / Abeti - African Music Explosion Records (Makossa Records)	1975	Abeti	
122335422	R 2351	R 2351 122335422	Les Mayeno a gogo / L'orchestre T.P.O.K Jazz (Héritage de Franco) avec le Commandant Josky Kiambukuta - Edition Masiya	1991	Josky / Tout-Puissant OK Jazz	
122337255	R 2036	R 2036 122337255	Télégramme / Trio Madjesi d'Afrique - Galadisk	1980	Trio Madjesi	
122337859	R 2195	R 2195 122337859	Franco et l'Orchestre O.K. Jazz - African	1968	Franco <Musiker> / Tout-Puissant OK Jazz	
122338170	R 050	R 050 122338170	Docteur Nico & L'Orchestre African Fiesta Sukisa / Docteur Nico & L'Orchestre African Fiesta Sukisa - African	1970	Nico <Docteur> / African Fiesta	
12233941X	R 2346	R 2346 12233941X	Le Congo danse / Orchestre OK Jazz ... - Pathé Marconi	1966	Franco <Musiker> / Pamelo / Dibango, Manu / Longomba, Victor / Mamadou, Ntounta Albert Alias / Gérard, Biyela / Ebeny, Paul / Tout-Puissant OK Jazz / Orchestre Bantou / Orchestre Beguen Band / Orchestre Ambiance Jazz / Orchestre Cercul Jazz	
122339673	R 2225	R 2225 122339673	Afrique de l'Ouest / Docteur Nico. Orchestre African Fiesta Sukisa - African, Sofrason (Distr.)	1970	Nico <Docteur> / African Fiesta	
