PPN	Signatur	Product	DateCreated	Artist	
490793452	CD 2245	Les yeux dans les yeux / Bozi Boziana - Musicanova	1995	Boziana, Bozi / Nzimbi, Al / Boziana, Bozi	
490794483	CD 2246	Le voyageur / Papa Wemba - Realworld	1992	Papa Wemba	
49079677X	CD 2249	Haute tension / Papa Noël & le duo incomparable: Carlyto Lassa, Wuta Mayi - Les Mampoko’s	1994	Papa Noël / Papa Noël / Wuta Mayi, Gaspard / Carlito	
490797288	CD 2250	Gerant / Pepe Kalle - Syllart	1991	Pépé Kallé	
490798179	R 4933	Pot pourri sur le passé / Les Bantous - BIM	1976	Malapet, Nino / Essous, Jean Serge / Les Bantous de la Capitale	
49080022X	R 4935	Vol. 1 / Kongo Retro Band - Universal Music Records	1982	Bavouéza Guinot, Marcel / Kongo Retro Band	
490820514	R 4941	Hit Parade Africain / Verschiedene Interpreten - Melodisc	1974	Orchestre Sinza / Tout-Puissant OK Jazz / Orchestre Les Rebelles / Bantous / Orchestre Les Noirs / Orchestre Mando Negro Kwala Kwa / Orchestre Hi-Fives	
490823599	R 4943	Holiday in Africa / Verschiedene Interpreten - 	1972	Tout-Puissant OK Jazz / Orchestre Mando Negro Kwala Kwa / Orchestre Sinza / Orchestre Hi-Fives / Bantous	
490828841	R 4944	"African retro" : volume 6 / Verschiedene Interpreten - Sociéte Ivoirenne du Disque	1977	African Fiesta / Rock-a-Mambo / Orchestre Negro Band	
490841953	R 4947	From Congo with love / Verschiedene Intepreten - EMI	1975	Orchestre Bella-Bella / Tout-Puissant OK Jazz / Orchestre Veve	
49093787X	CD 2251	1968, 1969, 1970 / Rochereau, Sam Mangwana & l’African Fiesta National - Sonodisc	1993	Ley, Tabu / Mangwana, Sam / African Fiesta	
491000251	R 4948	Toute l'Afrique danse sur les rythmes du Congo / Verschiedene Interpreten - Stenco	1965	Les Bantous de la Capitale / Orchestre Fiesta Negro / Les Batchichas / Orchestre Negro Band / Orchestre Cercul Jazz	
