PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
122026683	http://d-nb.info/gnd/138677433	Pépé Kallé	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/138677433","_standard":"text":"Pépé Kallé"},"conceptName":"Pépé Kallé"}	028E	$B:	Pépé Kallé	1951-1998	
122026683	http://d-nb.info/gnd/3029979-2	Empire Bakuba	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3029979-2","_standard":"text":"Empire Bakuba"},"conceptName":"Empire Bakuba"}	029E	$B:	Empire Bakuba		
122050762	http://d-nb.info/gnd/138677433	Pépé Kallé	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/138677433","_standard":"text":"Pépé Kallé"},"conceptName":"Pépé Kallé"}	028E	$B:	Pépé Kallé	1951-1998	
122050983	http://d-nb.info/gnd/134442881	Lema, Ray	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134442881","_standard":"text":"Lema, Ray"},"conceptName":"Lema, Ray"}	028E	$B:	Lema, Ray	1946-	
122063317	http://d-nb.info/gnd/1034498649	Franco, Musiker	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1034498649","_standard":"text":"Franco, Musiker"},"conceptName":"Franco, Musiker"}	028E	$B:	Franco <Musiker>	1938-1989	
122063317	http://d-nb.info/gnd/3015656-7	Tout-Puissant OK Jazz	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3015656-7","_standard":"text":"Tout-Puissant OK Jazz"},"conceptName":"Tout-Puissant OK Jazz"}	029E	$B:	Tout-Puissant OK Jazz		
122063813	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028C	$B:Dir.	Ley, Tabu	1940-2013	
122063813	http://d-nb.info/gnd/1074023277	Tess, Faya	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1074023277","_standard":"text":"Tess, Faya"},"conceptName":"Tess, Faya"}	028E	$B:	Tess, Faya	1966-	
122063813	http://d-nb.info/gnd/3028408-9	Afrisa International Orchestra	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3028408-9","_standard":"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
122064283	http://d-nb.info/gnd/			028E	$B:	Afi		
122065603	http://d-nb.info/gnd/1012128296	Abeti	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1012128296","_standard":"text":"Abeti"},"conceptName":"Abeti"}	028E	$B:	Abeti	1951-1994	
122065603	http://d-nb.info/gnd/3058937-X	Redoutables (Musikgruppe)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3058937-X","_standard":"text":"Redoutables (Musikgruppe)"},"conceptName":"Redoutables (Musikgruppe)"}	029E	$B:	Redoutables		
122308166	http://d-nb.info/gnd/1012128296	Abeti	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1012128296","_standard":"text":"Abeti"},"conceptName":"Abeti"}	028A	$B:	Abeti	1951-1994	
122335422	http://d-nb.info/gnd/1036118002	Josky	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1036118002","_standard":"text":"Josky"},"conceptName":"Josky"}	028E	$B:	Josky	1949-2021	
